log_body_len,Contributors Expertise,n_labels,has_milestone,is_feature_label,title_len,created_dayofweek,created_hour,n_assignees,cat_bug,cat_feature,cat_improvement,comp_ui,comp_backend,comp_api,comp_network,comp_security,comp_database,comp_authentication,comp_performance,n_complexity_words,n_urgency_words,body_has_steps,n_negative_words,assignee_avg_duration,assignee_task_count,assignee_open_tasks,depaseste_sprint,Time_Taken_Days,Created At,Repository
5.793013608384144,7.9,1,0,0,67,4,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.9384375,0,0,1,63.057939814814816,2011-09-16 13:30:03+00:00,redis/redis
6.80128303447162,7.9,1,1,0,76,1,12,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,6.9384375,0,1,1,162.34671296296295,2011-09-20 12:52:24+00:00,redis/redis
7.236339342754344,7.9,2,1,0,74,1,13,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,4,6.9384375,0,2,1,127.19085648148148,2011-09-20 13:34:15+00:00,redis/redis
5.4680601411351315,7.9,2,1,1,41,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9384375,0,3,0,6.984328703703704,2011-09-30 09:49:43+00:00,redis/redis
6.461468176353717,7.9,3,0,1,64,2,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,6.9384375,0,4,0,1.7805555555555554,2011-10-05 20:31:09+00:00,redis/redis
6.597145701886651,7.9,1,1,0,37,6,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.38244212962963,2,3,0,0.890474537037037,2011-10-09 16:04:03+00:00,redis/redis
6.703188113240863,7.9,1,1,0,43,0,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.38244212962963,2,4,0,0.05637731481481482,2011-10-10 12:11:53+00:00,redis/redis
7.780720886117918,7.9,3,0,1,44,2,23,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2.427934027777778,4,3,1,16.448703703703703,2011-10-26 23:43:15+00:00,redis/redis
5.996452088619021,7.9,1,1,0,17,4,15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.427934027777778,4,4,1,132.8395486111111,2011-11-11 15:18:27+00:00,redis/redis
6.548219102762372,7.9,0,1,0,18,4,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.869729938271604,6,3,1,152.79711805555556,2011-11-25 19:23:52+00:00,redis/redis
5.926926025970411,7.9,2,1,1,35,2,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.869729938271604,6,4,1,14.228923611111112,2011-11-30 08:41:54+00:00,redis/redis
6.525029657843462,7.9,2,1,1,59,1,14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14.869729938271604,6,5,0,7.14875,2011-12-06 14:22:25+00:00,redis/redis
7.1180162044653335,7.9,1,1,0,41,1,18,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,3,13.766732804232804,7,5,1,30.066481481481482,2011-12-13 18:21:44+00:00,redis/redis
6.871091294610546,7.9,1,1,0,38,3,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.824506655092593,8,5,1,49.031469907407406,2011-12-15 10:56:29+00:00,redis/redis
3.1780538303479458,7.9,2,1,1,20,5,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.824506655092593,8,6,0,2.393275462962963,2011-12-17 13:34:33+00:00,redis/redis
5.087596335232384,7.9,4,1,1,70,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.30558101851852,10,5,1,51.00372685185185,2012-01-17 11:10:57+00:00,redis/redis
5.267858159063328,1.1,1,0,0,62,1,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6.9384375,0,0,0,3.7297337962962964,2012-01-17 11:13:19+00:00,twbs/bootstrap
5.214935757608986,1.1,1,0,0,58,3,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.7297337962962964,1,0,0,0.6172569444444445,2012-01-26 16:20:53+00:00,twbs/bootstrap
8.269500767180615,7.9,0,1,0,36,0,10,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,6,24.567878787878787,11,5,0,2.958877314814815,2012-01-30 10:27:44+00:00,redis/redis
5.288267030694535,1.1,0,1,0,66,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1734953703703703,2,0,0,1.0528819444444444,2012-02-01 05:02:07+00:00,twbs/bootstrap
5.308267697401205,1.1,1,0,0,60,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1734953703703703,2,1,1,72.93320601851852,2012-02-02 03:26:11+00:00,twbs/bootstrap
8.197538739721184,7.9,1,1,0,67,4,21,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,5,24.787462606837607,13,4,1,17.473842592592593,2012-02-03 21:45:25+00:00,redis/redis
7.62608275807238,7.9,2,1,0,44,5,7,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,5,24.787462606837607,13,5,1,16.356655092592593,2012-02-04 07:57:44+00:00,redis/redis
7.575071699507561,5.199999999999999,1,0,1,34,5,10,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6.9384375,0,0,1,226.61657407407407,2012-02-04 10:25:47+00:00,twbs/bootstrap
5.25227342804663,1.1,1,1,0,31,1,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.7999575617283952,3,1,1,62.853611111111114,2012-02-21 12:44:08+00:00,twbs/bootstrap
5.3706380281276624,5.199999999999999,1,0,1,53,2,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9384375,0,1,1,178.28186342592593,2012-02-22 17:38:49+00:00,twbs/bootstrap
0.0,1.1,1,0,0,112,3,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7999575617283952,3,2,1,27.54804398148148,2012-02-23 17:51:31+00:00,twbs/bootstrap
6.259581464064923,1.1,1,0,0,51,3,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.7999575617283952,3,3,1,27.503368055555555,2012-02-23 18:10:04+00:00,twbs/bootstrap
6.3473892096560105,1.1,2,0,1,40,4,15,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.7999575617283952,3,4,1,26.63133101851852,2012-02-24 15:03:25+00:00,twbs/bootstrap
