Model,Fold,Held-out repositories,N test,Test AUC,Precision (Exceeds),Recall (Exceeds),F1 (Exceeds),MCC,Accuracy (weighted)
Random Forest,1,"ansible/ansible, apache/airflow, lit/lit, pandas-dev/pandas",2809,0.514,0.555,0.748,0.637,0.065,0.544
Random Forest,2,"Azure/azure-sdk-for-java, opencv/opencv, redis/redis, vercel/next.js",2817,0.717,0.52,0.522,0.521,0.267,0.668
Random Forest,3,"SeleniumHQ/selenium, chef/chef, electron/electron, jashkenas/backbone, meteor/meteor",2595,0.719,0.531,0.721,0.612,0.318,0.65
Random Forest,4,"ReactiveX/RxJava, docker/compose, golang/go, microsoft/TypeScript, nodejs/node",2676,0.622,0.423,0.543,0.476,0.151,0.59
Random Forest,5,"hashicorp/terraform, istio/istio, rails/rails, twbs/bootstrap",2641,0.653,0.414,0.604,0.491,0.204,0.612
Gradient Boosting,1,"ansible/ansible, apache/airflow, lit/lit, pandas-dev/pandas",2809,0.528,0.548,0.684,0.608,0.038,0.529
Gradient Boosting,2,"Azure/azure-sdk-for-java, opencv/opencv, redis/redis, vercel/next.js",2817,0.692,0.513,0.475,0.493,0.242,0.663
Gradient Boosting,3,"SeleniumHQ/selenium, chef/chef, electron/electron, jashkenas/backbone, meteor/meteor",2595,0.707,0.533,0.684,0.6,0.305,0.65
Gradient Boosting,4,"ReactiveX/RxJava, docker/compose, golang/go, microsoft/TypeScript, nodejs/node",2676,0.616,0.433,0.531,0.477,0.161,0.601
Gradient Boosting,5,"hashicorp/terraform, istio/istio, rails/rails, twbs/bootstrap",2641,0.639,0.418,0.518,0.463,0.184,0.627
XGBoost,1,"ansible/ansible, apache/airflow, lit/lit, pandas-dev/pandas",2809,0.525,0.561,0.69,0.619,0.073,0.545
XGBoost,2,"Azure/azure-sdk-for-java, opencv/opencv, redis/redis, vercel/next.js",2817,0.673,0.489,0.49,0.489,0.219,0.647
XGBoost,3,"SeleniumHQ/selenium, chef/chef, electron/electron, jashkenas/backbone, meteor/meteor",2595,0.692,0.512,0.697,0.59,0.278,0.63
XGBoost,4,"ReactiveX/RxJava, docker/compose, golang/go, microsoft/TypeScript, nodejs/node",2676,0.617,0.431,0.539,0.479,0.161,0.598
XGBoost,5,"hashicorp/terraform, istio/istio, rails/rails, twbs/bootstrap",2641,0.631,0.404,0.507,0.45,0.163,0.616
MLP,1,"ansible/ansible, apache/airflow, lit/lit, pandas-dev/pandas",2809,0.518,0.547,0.583,0.565,0.029,0.519
MLP,2,"Azure/azure-sdk-for-java, opencv/opencv, redis/redis, vercel/next.js",2817,0.667,0.476,0.527,0.5,0.217,0.636
MLP,3,"SeleniumHQ/selenium, chef/chef, electron/electron, jashkenas/backbone, meteor/meteor",2595,0.607,0.457,0.529,0.49,0.137,0.58
MLP,4,"ReactiveX/RxJava, docker/compose, golang/go, microsoft/TypeScript, nodejs/node",2676,0.63,0.439,0.606,0.509,0.193,0.6
MLP,5,"hashicorp/terraform, istio/istio, rails/rails, twbs/bootstrap",2641,0.612,0.395,0.463,0.426,0.139,0.614
AdaBoost,1,"ansible/ansible, apache/airflow, lit/lit, pandas-dev/pandas",2809,0.543,0.555,0.726,0.629,0.062,0.542
AdaBoost,2,"Azure/azure-sdk-for-java, opencv/opencv, redis/redis, vercel/next.js",2817,0.707,0.52,0.457,0.487,0.242,0.667
AdaBoost,3,"SeleniumHQ/selenium, chef/chef, electron/electron, jashkenas/backbone, meteor/meteor",2595,0.707,0.567,0.585,0.576,0.307,0.671
AdaBoost,4,"ReactiveX/RxJava, docker/compose, golang/go, microsoft/TypeScript, nodejs/node",2676,0.6,0.428,0.518,0.469,0.152,0.598
AdaBoost,5,"hashicorp/terraform, istio/istio, rails/rails, twbs/bootstrap",2641,0.664,0.457,0.418,0.437,0.2,0.666
Logistic Regression,1,"ansible/ansible, apache/airflow, lit/lit, pandas-dev/pandas",2809,0.551,0.55,0.79,0.648,0.054,0.541
Logistic Regression,2,"Azure/azure-sdk-for-java, opencv/opencv, redis/redis, vercel/next.js",2817,0.646,0.486,0.45,0.467,0.203,0.646
Logistic Regression,3,"SeleniumHQ/selenium, chef/chef, electron/electron, jashkenas/backbone, meteor/meteor",2595,0.669,0.541,0.535,0.538,0.255,0.649
Logistic Regression,4,"ReactiveX/RxJava, docker/compose, golang/go, microsoft/TypeScript, nodejs/node",2676,0.552,0.395,0.361,0.377,0.074,0.591
Logistic Regression,5,"hashicorp/terraform, istio/istio, rails/rails, twbs/bootstrap",2641,0.597,0.39,0.512,0.443,0.143,0.601
Decision Tree,1,"ansible/ansible, apache/airflow, lit/lit, pandas-dev/pandas",2809,0.56,0.548,0.848,0.665,0.057,0.544
Decision Tree,2,"Azure/azure-sdk-for-java, opencv/opencv, redis/redis, vercel/next.js",2817,0.641,0.476,0.603,0.532,0.242,0.634
Decision Tree,3,"SeleniumHQ/selenium, chef/chef, electron/electron, jashkenas/backbone, meteor/meteor",2595,0.653,0.472,0.761,0.583,0.234,0.583
Decision Tree,4,"ReactiveX/RxJava, docker/compose, golang/go, microsoft/TypeScript, nodejs/node",2676,0.587,0.409,0.534,0.464,0.126,0.576
Decision Tree,5,"hashicorp/terraform, istio/istio, rails/rails, twbs/bootstrap",2641,0.625,0.372,0.597,0.459,0.134,0.563
